community_id,name,house_title,district,monthly_rent,area,monthly_rent_per_sqm,listing_count,source,scraped_at
GZ2169332079387475968,海珠,整租·保利红棉花园 2室1厅 西,海珠区,3000.0,58.17,51.57,1,贝壳租房列表页,2026-05-25T20:56:28.811134
独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,,独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,海珠区,2580.0,35.0,73.71,1,贝壳租房列表页,2026-05-25T20:56:28.812107
GZ2169313362318458880,海珠,整租·森语星园 1室0厅 南,海珠区,2700.0,30.0,90.0,1,贝壳租房列表页,2026-05-25T20:56:28.812952
独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,,独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,海珠区,2780.0,35.0,79.43,1,贝壳租房列表页,2026-05-25T20:56:28.813692
GZ2169359548106670080,海珠,整租·昌岗中路 3室2厅 东,海珠区,4800.0,65.45,73.34,1,贝壳租房列表页,2026-05-25T20:56:28.814390
独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,,独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,海珠区,2350.0,25.0,94.0,1,贝壳租房列表页,2026-05-25T20:56:28.815078
GZ1895076677910790144,海珠,合租·越秀天荟江湾 2居室 东北卧,海珠区,2000.0,30.0,66.67,1,贝壳租房列表页,2026-05-25T20:56:28.815796
独栋·珑寓 宝岗店 阳光通透 配套健身房 阳台单间，大窗采光 0中介 高层电梯独栋 民电不走巷子 开间,,独栋·珑寓 宝岗店 阳光通透 配套健身房 阳台单间，大窗采光 0中介 高层电梯独栋 民电不走巷子 开间,海珠区,2550.0,25.0,102.0,1,贝壳租房列表页,2026-05-25T20:56:28.816533
GZ2167505996514066432,海珠,合租·世港花园 1居室 南卧,海珠区,2100.0,26.0,80.77,1,贝壳租房列表页,2026-05-25T20:56:28.817230
独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,,独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,海珠区,2550.0,35.0,72.86,1,贝壳租房列表页,2026-05-25T20:56:28.817974
GZ2112040040052817920,海珠,整租·同福西路 3室2厅 南,海珠区,3800.0,80.0,47.5,1,贝壳租房列表页,2026-05-25T20:56:28.818616
独栋·金地草莓社区 同福西地铁站店 【江景大单间-五月福利-限时特惠-孙逸仙北院-6/8号线地铁】近地铁-地铁口，民水民电 1室1厅,,独栋·金地草莓社区 同福西地铁站店 【江景大单间-五月福利-限时特惠-孙逸仙北院-6/8号线地铁】近地铁-地铁口，民水民电 1室1厅,海珠区,3360.0,35.0,96.0,1,贝壳租房列表页,2026-05-25T20:56:28.819327
GZ2147937478269468672,海珠,整租·中海名都 1室0厅 东南,海珠区,1300.0,11.0,118.18,1,贝壳租房列表页,2026-05-25T20:56:28.820038
独栋·与之城市青年之家 天荟江湾 国企高端服务式公寓 江景阳台一房一厅 全屋一线家电 拎包入住 1室1厅,,独栋·与之城市青年之家 天荟江湾 国企高端服务式公寓 江景阳台一房一厅 全屋一线家电 拎包入住 1室1厅,海珠区,7200.0,60.0,120.0,1,贝壳租房列表页,2026-05-25T20:56:28.820653
GZ2148002258577522688,海珠,整租·翠城花园 1室0厅 东南,海珠区,1500.0,12.0,125.0,1,贝壳租房列表页,2026-05-25T20:56:28.821246
GZ2148001405560946688,海珠,整租·保利百合花园 1室0厅 南,海珠区,1200.0,12.0,100.0,1,贝壳租房列表页,2026-05-25T20:56:28.821833
GZ2148007353604112384,海珠,整租·翠城花园 1室0厅 东南,海珠区,1500.0,12.0,125.0,1,贝壳租房列表页,2026-05-25T20:56:28.822495
