case_id,city,area,style,level,total_price,unit_price,duration_days,company,year,labor_cost,material_cost,auxiliary_cost,design_cost,furniture_cost,source_url
2182066,广州,80.0,其他,高档,130000.0,1625.0,70,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/470907/case/2182066.html
1747496,广州,73.0,实景案例,中档,70000.0,958.9041095890411,80,陈磊,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8833684/case/1747496.html
1680959,广州,80.0,现代简约,高档,130000.0,1625.0,90,袁忠煜,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/839621/case/1680959.html
2197655,广州,74.0,新中式,高档,190000.0,2567.5675675675675,65,乔星星,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8210610/case/2197655.html
2420255,广州,61.0,现代简约,中档,70000.0,1147.5409836065573,90,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10138736/case/2420255.html
2369215,广州,65.0,北欧风,中档,70000.0,1076.923076923077,60,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/573608/case/2369215.html
2101778,广州,80.0,的家,经济型,30000.0,375.0,45,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8400736/case/2101778.html
16050,广州,75.0,其他,豪装,300000.0,4000.0,120,赵婷,2022,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t16050.html
7489,广州,74.0,新中式,豪装,320000.0,4324.324324324324,180,鲁门设计,2008,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t7489.html
846869,广州,72.0,北欧风,中档,60000.0,833.3333333333334,90,瞿安娜,2018,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8774163/case/846869.html
2214421,广州,73.0,魏正,中档,100000.0,1369.86301369863,75,魏正,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/11062226/case/2214421.html
2834096,广州,69.0,混搭,高档,190000.0,2753.623188405797,60,,2023,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/13234344/case/2834096.html
1523829,广州,70.0,现代简约,中档,70000.0,1000.0,90,,2018,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/2909128/case/1523829.html
1444943,广州,71.0,现代简约,经济型,50000.0,704.2253521126761,60,吴经涛,2018,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8511956/case/1444943.html
2484105,广州,68.0,现代简约,高档,110000.0,1617.6470588235295,25,,2020,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/1635362/case/2484105.html
2144373,广州,73.0,现代简约,中档,90000.0,1232.876712328767,60,,2019,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/10715277/case/2144373.html
2818247,广州,66.0,美式,高档,100000.0,1515.1515151515152,60,,2023,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/13234344/case/2818247.html
259978,广州,76.0,现代简约,经济型,30000.0,394.7368421052632,0,李林泽,2014,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/720008/case/259978.html
971031,广州,70.0,现代简约,中档,80000.0,1142.857142857143,40,刘学斌,2018,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/8911106/case/971031.html
18814,广州,77.0,现代简约,高档,150000.0,1948.051948051948,90,深圳乐蜂全案｜壹玖柒玖设计院,2024,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t18814.html
18745,广州,67.0,奶油风,高档,150000.0,2238.805970149254,70,深圳乐蜂全案｜壹玖柒玖设计院,2024,0.0,0.0,0.0,0.0,0.0,https://xiaoguotu.to8to.com/case/zxanli/t18745.html
817512,广州,78.0,现代简约,经济型,60000.0,769.2307692307693,60,,2018,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/1635362/case/817512.html
504869,广州,78.0,现代简约,经济型,60000.0,769.2307692307693,60,,2018,0.0,0.0,0.0,0.0,0.0,https://sz.to8to.com/zs/1019064/case/504869.html
