community_id,name,house_title,district,monthly_rent,area,monthly_rent_per_sqm,listing_count,source,scraped_at
GZ2127283107345203200,海珠,整租·佳信花园 4室2厅 南,海珠区,8800.0,136.0,64.71,1,贝壳租房列表页,2026-05-26T15:05:59.216869
独栋·悦City青年公寓 磨碟沙社区公寓 直租无中介 独门独户 独立阳台 独卫 拎包入住 开间,,独栋·悦City青年公寓 磨碟沙社区公寓 直租无中介 独门独户 独立阳台 独卫 拎包入住 开间,海珠区,999.0,35.0,28.54,1,贝壳租房列表页,2026-05-26T15:05:59.218117
GZ2163238954189455360,海珠,整租·世纪云顶雅苑 3室1厅 南,海珠区,6700.0,109.0,61.47,1,贝壳租房列表页,2026-05-26T15:05:59.219116
独栋·保利和寓 万胜围店 【每月减100】商超地铁上盖精装三房合租可用燃气民用水电 3室1厅,,独栋·保利和寓 万胜围店 【每月减100】商超地铁上盖精装三房合租可用燃气民用水电 3室1厅,海珠区,1600.0,89.0,17.98,1,贝壳租房列表页,2026-05-26T15:05:59.220124
GZ2157772542641700864,海珠,整租·信步闲庭 2室1厅 南/北,海珠区,4600.0,80.0,57.5,1,贝壳租房列表页,2026-05-26T15:05:59.220970
独栋·珑寓 宝岗店 【特价阳光单间】不短租/近市二宫/独栋电梯/直租/押一付一 开间,,独栋·珑寓 宝岗店 【特价阳光单间】不短租/近市二宫/独栋电梯/直租/押一付一 开间,海珠区,2080.0,20.0,104.0,1,贝壳租房列表页,2026-05-26T15:05:59.222146
GZ2167307880363982848,海珠,整租·嘉仕花园东区 2室1厅 南,海珠区,3900.0,75.0,52.0,1,贝壳租房列表页,2026-05-26T15:05:59.223208
独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,,独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,海珠区,2550.0,35.0,72.86,1,贝壳租房列表页,2026-05-26T15:05:59.224152
GZ2167573858003976192,海珠,整租·细岗路 2室1厅 东南,海珠区,3000.0,52.0,57.69,1,贝壳租房列表页,2026-05-26T15:05:59.225056
独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月限时特惠-双地铁】同福西 文化公园地铁口 押一付一 1室1厅,,独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月限时特惠-双地铁】同福西 文化公园地铁口 押一付一 1室1厅,海珠区,3880.0,55.0,70.55,1,贝壳租房列表页,2026-05-26T15:05:59.225811
GZ2121455111346585600,海珠,整租·保利天悦花园 5室2厅 南/北,海珠区,59200.0,377.22,156.94,1,贝壳租房列表页,2026-05-26T15:05:59.226558
独栋·窝趣轻社区 新都荟广场店 活动特惠 6个月起租 采光好 押一 可做饭 民水电 东晓南地铁600米 开间,,独栋·窝趣轻社区 新都荟广场店 活动特惠 6个月起租 采光好 押一 可做饭 民水电 东晓南地铁600米 开间,海珠区,2000.0,28.0,71.43,1,贝壳租房列表页,2026-05-26T15:05:59.227301
GZ2169085554912657408,海珠,整租·越秀天荟江湾 1室0厅 东,海珠区,2000.0,33.0,60.61,1,贝壳租房列表页,2026-05-26T15:05:59.228074
独栋·龙湖冠寓 逸景路地铁站店 磨碟沙/琶洲首选  储物空间大 采光好  3个月起租  押1付1 开间,,独栋·龙湖冠寓 逸景路地铁站店 磨碟沙/琶洲首选  储物空间大 采光好  3个月起租  押1付1 开间,海珠区,2800.0,36.0,77.78,1,贝壳租房列表页,2026-05-26T15:05:59.228769
GZ2121162195227115520,海珠,整租·琶洲新村公寓 3室1厅 南,海珠区,7800.0,110.0,70.91,1,贝壳租房列表页,2026-05-26T15:05:59.229404
GZ2163554432065732608,海珠,整租·琶洲新村公寓 2室1厅 南,海珠区,5300.0,84.0,63.1,1,贝壳租房列表页,2026-05-26T15:05:59.230157
GZ2161386572434374656,海珠,整租·嘉仕花园东区 2室1厅 西南,海珠区,5000.0,87.0,57.47,1,贝壳租房列表页,2026-05-26T15:05:59.230758
独栋·安景寓 广州南箕路店 近科创8号园  1918，燕岗创意园   11号线棣园地铁直达沥滘 南洲  磨碟 阳光单间 民用水电 开间,,独栋·安景寓 广州南箕路店 近科创8号园  1918，燕岗创意园   11号线棣园地铁直达沥滘 南洲  磨碟 阳光单间 民用水电 开间,海珠区,2200.0,30.0,73.33,1,贝壳租房列表页,2026-05-26T15:05:59.231316
GZ2167890689373765632,海珠,整租·海印南苑 2室2厅 南/北,海珠区,5000.0,76.9,65.02,1,贝壳租房列表页,2026-05-26T15:05:59.231885
GZ2160588983564763136,海珠,整租·会展西岸 4室2厅 南/北,海珠区,7500.0,120.0,62.5,1,贝壳租房列表页,2026-05-26T15:05:59.232451
GZ2161503258344947712,海珠,整租·中旅侨苑 2室1厅 西北,海珠区,4000.0,61.0,65.57,1,贝壳租房列表页,2026-05-26T15:05:59.233009
独栋·保利和寓 花园店 大单间 近地铁小区环境 阳光充足 通风性好 开间,,独栋·保利和寓 花园店 大单间 近地铁小区环境 阳光充足 通风性好 开间,海珠区,2000.0,40.0,50.0,1,贝壳租房列表页,2026-05-26T15:05:59.233574
GZ2162505632505135104,海珠,整租·前进路(海珠) 1室0厅 东南,海珠区,1100.0,30.0,36.67,1,贝壳租房列表页,2026-05-26T15:05:59.234144
