community_id,name,house_title,district,monthly_rent,area,monthly_rent_per_sqm,listing_count,source,scraped_at
GZ2169755695728033792,海珠,整租·前进路(海珠) 3室1厅 南,海珠区,4000.0,85.0,47.06,1,贝壳租房列表页,2026-05-25T14:58:10.302491
独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,,独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,海珠区,2580.0,35.0,73.71,1,贝壳租房列表页,2026-05-25T14:58:10.307159
GZ2169332079387475968,海珠,整租·保利红棉花园 2室1厅 西,海珠区,3000.0,58.17,51.57,1,贝壳租房列表页,2026-05-25T14:58:10.308193
独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,,独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,海珠区,2780.0,35.0,79.43,1,贝壳租房列表页,2026-05-25T14:58:10.309075
GZ2169313362318458880,海珠,整租·森语星园 1室0厅 南,海珠区,2700.0,30.0,90.0,1,贝壳租房列表页,2026-05-25T14:58:10.309887
独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,,独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,海珠区,2350.0,25.0,94.0,1,贝壳租房列表页,2026-05-25T14:58:10.310668
GZ2169359548106670080,海珠,整租·昌岗中路 3室2厅 东,海珠区,4800.0,65.45,73.34,1,贝壳租房列表页,2026-05-25T14:58:10.311345
独栋·珑寓 宝岗店 阳光通透 配套健身房 阳台单间，大窗采光 0中介 高层电梯独栋 民电不走巷子 开间,,独栋·珑寓 宝岗店 阳光通透 配套健身房 阳台单间，大窗采光 0中介 高层电梯独栋 民电不走巷子 开间,海珠区,2550.0,25.0,102.0,1,贝壳租房列表页,2026-05-25T14:58:10.312157
GZ1895076677910790144,海珠,合租·越秀天荟江湾 2居室 东北卧,海珠区,2000.0,30.0,66.67,1,贝壳租房列表页,2026-05-25T14:58:10.312801
独栋·珑寓 宝岗店 【特价阳光单间】不短租/近市二宫/独栋电梯/直租/押一付一 开间,,独栋·珑寓 宝岗店 【特价阳光单间】不短租/近市二宫/独栋电梯/直租/押一付一 开间,海珠区,2080.0,20.0,104.0,1,贝壳租房列表页,2026-05-25T14:58:10.313395
GZ2167505996514066432,海珠,合租·世港花园 1居室 南卧,海珠区,2100.0,26.0,80.77,1,贝壳租房列表页,2026-05-25T14:58:10.314021
独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,,独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,海珠区,2550.0,35.0,72.86,1,贝壳租房列表页,2026-05-25T14:58:10.314615
GZ2112040040052817920,海珠,整租·同福西路 3室2厅 南,海珠区,3800.0,80.0,47.5,1,贝壳租房列表页,2026-05-25T14:58:10.315173
独栋·金地草莓社区 中大店 中大滨江东双地铁 阳光单间 学生优惠 押一付一拎包入住 开间,,独栋·金地草莓社区 中大店 中大滨江东双地铁 阳光单间 学生优惠 押一付一拎包入住 开间,海珠区,1960.0,23.0,85.22,1,贝壳租房列表页,2026-05-25T14:58:10.315754
GZ2170012838058262528,海珠,整租·昌岗中路 2室1厅 西,海珠区,2800.0,60.0,46.67,1,贝壳租房列表页,2026-05-25T14:58:10.316356
