community_id,name,house_title,district,monthly_rent,area,monthly_rent_per_sqm,listing_count,source,scraped_at
GZ2169755695728033792,海珠,整租·前进路(海珠) 3室1厅 南,海珠区,4000.0,85.0,47.06,1,贝壳租房列表页,2026-05-26T16:18:44.108712
独栋·悦City青年公寓 磨碟沙社区公寓 直租无中介 独门独户 独立阳台 独卫 拎包入住 开间,,独栋·悦City青年公寓 磨碟沙社区公寓 直租无中介 独门独户 独立阳台 独卫 拎包入住 开间,海珠区,999.0,35.0,28.54,1,贝壳租房列表页,2026-05-26T16:18:44.109670
GZ2170004518241042432,海珠,整租·祈乐苑 3室2厅 南,海珠区,4500.0,92.34,48.73,1,贝壳租房列表页,2026-05-26T16:18:44.110234
独栋·保利和寓 万胜围店 【每月减100】商超地铁上盖精装三房合租可用燃气民用水电 3室1厅,,独栋·保利和寓 万胜围店 【每月减100】商超地铁上盖精装三房合租可用燃气民用水电 3室1厅,海珠区,1600.0,89.0,17.98,1,贝壳租房列表页,2026-05-26T16:18:44.110792
GZ2169750702111326208,海珠,整租·蓝色康园 1室1厅 北,海珠区,3500.0,37.0,94.59,1,贝壳租房列表页,2026-05-26T16:18:44.111322
独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,,独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,海珠区,2550.0,35.0,72.86,1,贝壳租房列表页,2026-05-26T16:18:44.111750
GZ2169772095003688960,海珠,整租·新城国际 3室2厅 东南,海珠区,4900.0,69.0,71.01,1,贝壳租房列表页,2026-05-26T16:18:44.112196
独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月限时特惠-双地铁】同福西 文化公园地铁口 押一付一 1室1厅,,独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月限时特惠-双地铁】同福西 文化公园地铁口 押一付一 1室1厅,海珠区,3880.0,55.0,70.55,1,贝壳租房列表页,2026-05-26T16:18:44.112805
GZ2159580399016083456,海珠,整租·东晓路 1室1厅 南,海珠区,2100.0,30.27,69.38,1,贝壳租房列表页,2026-05-26T16:18:44.113586
独栋·窝趣轻社区 新都荟广场店 活动特惠 6个月起租 采光好 押一 可做饭 民水电 东晓南地铁600米 开间,,独栋·窝趣轻社区 新都荟广场店 活动特惠 6个月起租 采光好 押一 可做饭 民水电 东晓南地铁600米 开间,海珠区,2000.0,28.0,71.43,1,贝壳租房列表页,2026-05-26T16:18:44.114378
GZ1895076677910790144,海珠,合租·越秀天荟江湾 2居室 东北卧,海珠区,2000.0,30.0,66.67,1,贝壳租房列表页,2026-05-26T16:18:44.114948
独栋·龙湖冠寓 逸景路地铁站店 磨碟沙/琶洲首选  储物空间大 采光好  3个月起租  押1付1 开间,,独栋·龙湖冠寓 逸景路地铁站店 磨碟沙/琶洲首选  储物空间大 采光好  3个月起租  押1付1 开间,海珠区,2800.0,36.0,77.78,1,贝壳租房列表页,2026-05-26T16:18:44.115486
GZ2170148478854889472,海珠,整租·嘉鸿花园 2室2厅 东南,海珠区,3500.0,80.0,43.75,1,贝壳租房列表页,2026-05-26T16:18:44.115975
独栋·安景寓 广州南箕路店 近科创8号园  1918，燕岗创意园   11号线棣园地铁直达沥滘 南洲  磨碟 阳光单间 民用水电 开间,,独栋·安景寓 广州南箕路店 近科创8号园  1918，燕岗创意园   11号线棣园地铁直达沥滘 南洲  磨碟 阳光单间 民用水电 开间,海珠区,2200.0,30.0,73.33,1,贝壳租房列表页,2026-05-26T16:18:44.117449
GZ2169352201246343168,海珠,整租·凤凰新村 3室1厅 南,海珠区,3200.0,65.0,49.23,1,贝壳租房列表页,2026-05-26T16:18:44.117899
GZ2169077517179158528,海珠,整租·江南美景花园 2室1厅 西北/东北,海珠区,4200.0,81.0,51.85,1,贝壳租房列表页,2026-05-26T16:18:44.118331
GZ2170364158007050240,海珠,整租·广纸路 2室1厅 南,海珠区,2600.0,62.0,41.94,1,贝壳租房列表页,2026-05-26T16:18:44.118791
独栋·保利和寓 花园店 大单间 近地铁小区环境 阳光充足 通风性好 开间,,独栋·保利和寓 花园店 大单间 近地铁小区环境 阳光充足 通风性好 开间,海珠区,2000.0,40.0,50.0,1,贝壳租房列表页,2026-05-26T16:18:44.119225
GZ2170186909509222400,海珠,整租·翠馨华庭 2室1厅 东/东南/南/西南/西/西北/北/东北,海珠区,3500.0,35.0,100.0,1,贝壳租房列表页,2026-05-26T16:18:44.119663
GZ2140385810782879744,海珠,整租·新港西路 1室1厅 东,海珠区,1800.0,35.0,51.43,1,贝壳租房列表页,2026-05-26T16:18:44.120098
GZ2170017385937895424,海珠,整租·宝泉大厦 2室1厅 东,海珠区,4500.0,75.0,60.0,1,贝壳租房列表页,2026-05-26T16:18:44.120537
独栋·金地草莓社区 同福西地铁站店 【暗房-自带烘干机-5月特惠】地铁300M孙逸仙北院首选6/8号线双地铁口拎包入住 民水民电 开间,,独栋·金地草莓社区 同福西地铁站店 【暗房-自带烘干机-5月特惠】地铁300M孙逸仙北院首选6/8号线双地铁口拎包入住 民水民电 开间,海珠区,1620.0,25.0,64.8,1,贝壳租房列表页,2026-05-26T16:18:44.120980
GZ2170016880843030528,海珠,整租·恒鑫东和湾 1室1厅 东北,海珠区,4100.0,49.0,83.67,1,贝壳租房列表页,2026-05-26T16:18:44.121435
独栋·城遇·青年公寓 宝岗大道店 沙园租房必看！  4.5米loft复式  超大落地窗 免费台球室健身房 房东直租 1室1厅,,独栋·城遇·青年公寓 宝岗大道店 沙园租房必看！  4.5米loft复式  超大落地窗 免费台球室健身房 房东直租 1室1厅,海珠区,1700.0,45.0,37.78,1,贝壳租房列表页,2026-05-26T16:18:44.121936
GZ2170022672329605120,海珠,整租·越秀天荟江湾 1室0厅 东,海珠区,1000.0,13.0,76.92,1,贝壳租房列表页,2026-05-26T16:18:44.122351
独栋·泊寓 海珠湾艺术社区 【到店立减200元】近广州之窗 江景落地窗 带空中花园 拎包入住 1室1厅,,独栋·泊寓 海珠湾艺术社区 【到店立减200元】近广州之窗 江景落地窗 带空中花园 拎包入住 1室1厅,海珠区,2205.0,27.75,79.46,1,贝壳租房列表页,2026-05-26T16:18:44.122780
GZ2170030590659657728,海珠,整租·新城国际 1室0厅 南,海珠区,1000.0,16.0,62.5,1,贝壳租房列表页,2026-05-26T16:18:44.123202
独栋·心中小城 赤沙地铁站店 【舒适安全】精装电梯地铁上盖，不走巷子 开间,,独栋·心中小城 赤沙地铁站店 【舒适安全】精装电梯地铁上盖，不走巷子 开间,海珠区,1950.0,35.0,55.71,1,贝壳租房列表页,2026-05-26T16:18:44.123613
GZ2170034886218350592,海珠,整租·江海新苑 3室2厅 北,海珠区,7000.0,120.0,58.33,1,贝壳租房列表页,2026-05-26T16:18:44.124027
独栋·拼图家园 拼图·寓（赤沙地铁站店） 地铁100米 公寓精装大一房一厅 押一付一 民水民电 1室1厅,,独栋·拼图家园 拼图·寓（赤沙地铁站店） 地铁100米 公寓精装大一房一厅 押一付一 民水民电 1室1厅,海珠区,3060.0,45.0,68.0,1,贝壳租房列表页,2026-05-26T16:18:44.124599
GZ2064957643188862976,海珠,整租·保利花园 1室0厅 东/东南,海珠区,1100.0,11.5,95.65,1,贝壳租房列表页,2026-05-26T16:19:04.422099
独栋·悦City青年公寓 北山店 特惠首选直租房 拎包入住 送独立网络  民水电 开间,,独栋·悦City青年公寓 北山店 特惠首选直租房 拎包入住 送独立网络  民水电 开间,海珠区,700.0,18.0,38.89,1,贝壳租房列表页,2026-05-26T16:19:04.423027
GZ2065072697305464832,海珠,整租·翠城花园 1室0厅 东南,海珠区,1400.0,12.5,112.0,1,贝壳租房列表页,2026-05-26T16:19:04.423974
独栋·与之城市青年之家 富基广场店 市二宫富基广场阳台大一房一厅 1室1厅,,独栋·与之城市青年之家 富基广场店 市二宫富基广场阳台大一房一厅 1室1厅,海珠区,3000.0,50.0,60.0,1,贝壳租房列表页,2026-05-26T16:19:04.424795
GZ2065071731772489728,海珠,整租·翠城花园 1室0厅 南,海珠区,1400.0,12.5,112.0,1,贝壳租房列表页,2026-05-26T16:19:04.425498
独栋·城遇·青年公寓 燕岗店 【精装电梯公寓】下楼直达地铁  直租无中介费丨采光通透丨全景实拍丨配置全屋品牌家具家电可随时入住 ！ 1室1厅,,独栋·城遇·青年公寓 燕岗店 【精装电梯公寓】下楼直达地铁  直租无中介费丨采光通透丨全景实拍丨配置全屋品牌家具家电可随时入住 ！ 1室1厅,海珠区,1800.0,30.0,60.0,1,贝壳租房列表页,2026-05-26T16:19:04.426329
GZ2031266900624801792,海珠,整租·保利百合花园二期 1室0厅 东,海珠区,1100.0,12.0,91.67,1,贝壳租房列表页,2026-05-26T16:19:04.427001
独栋·与之城市青年之家 南华西路店 同福西江边高端公寓，精装阳台隔断一房一厅，家电齐全拎包入住 1室1厅,,独栋·与之城市青年之家 南华西路店 同福西江边高端公寓，精装阳台隔断一房一厅，家电齐全拎包入住 1室1厅,海珠区,2400.0,40.0,60.0,1,贝壳租房列表页,2026-05-26T16:19:04.427665
GZ2032022065917198336,海珠,整租·芳草轩 1室0厅 东,海珠区,800.0,12.0,66.67,1,贝壳租房列表页,2026-05-26T16:19:04.428384
独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,,独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,海珠区,2580.0,35.0,73.71,1,贝壳租房列表页,2026-05-26T16:19:04.429134
GZ2032022940500885504,海珠,整租·领江壹号 1室0厅 东/东南/南/西南/西/西北/北/东北,海珠区,1000.0,13.0,76.92,1,贝壳租房列表页,2026-05-26T16:19:04.429804
独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,,独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,海珠区,2780.0,35.0,79.43,1,贝壳租房列表页,2026-05-26T16:19:04.430478
GZ2033041814079930368,海珠,整租·翔韵雅居 1室0厅 东南,海珠区,1200.0,11.0,109.09,1,贝壳租房列表页,2026-05-26T16:19:04.431075
独栋·云境公寓 赤岗店 近龙潭地铁站 房东直租 年轻人社区 精装修 拎包入住 1室1厅,,独栋·云境公寓 赤岗店 近龙潭地铁站 房东直租 年轻人社区 精装修 拎包入住 1室1厅,海珠区,2580.0,35.0,73.71,1,贝壳租房列表页,2026-05-26T16:19:04.432044
GZ2032678131147472896,海珠,整租·丽景湾 1室0厅 东,海珠区,1900.0,12.0,158.33,1,贝壳租房列表页,2026-05-26T16:19:04.432620
GZ2034196492578717696,海珠,整租·光大花园和榕风景 1室0厅 南,海珠区,1000.0,12.0,83.33,1,贝壳租房列表页,2026-05-26T16:19:04.433266
GZ2117983915657396224,海珠,整租·愉景南苑 1室0厅 东,海珠区,1500.0,12.0,125.0,1,贝壳租房列表页,2026-05-26T16:19:04.433804
独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,,独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,海珠区,2350.0,25.0,94.0,1,贝壳租房列表页,2026-05-26T16:19:04.434343
GZ2118680441127960576,海珠,整租·光大花园水岸榕城 1室0厅 西,海珠区,1100.0,12.5,88.0,1,贝壳租房列表页,2026-05-26T16:19:04.434936
GZ2118948927368593408,海珠,整租·中海名都 1室0厅 东,海珠区,1600.0,12.0,133.33,1,贝壳租房列表页,2026-05-26T16:19:04.435634
GZ2118988034283143168,海珠,整租·联星文化星城 1室0厅 东南,海珠区,800.0,12.0,66.67,1,贝壳租房列表页,2026-05-26T16:19:04.436328
独栋·龙湖冠寓 逸景路地铁站店 通勤磨碟沙地铁有座  单间带衣帽间  押1付1 免中介费  3个月起租 开间,,独栋·龙湖冠寓 逸景路地铁站店 通勤磨碟沙地铁有座  单间带衣帽间  押1付1 免中介费  3个月起租 开间,海珠区,2550.0,30.0,85.0,1,贝壳租房列表页,2026-05-26T16:19:04.436916
GZ2118987746084126720,海珠,整租·光大花园中海锦榕湾 1室0厅 东,海珠区,1200.0,12.0,100.0,1,贝壳租房列表页,2026-05-26T16:19:04.437493
独栋·百合社区 江南西1店 江南西附近大单间！可短租 民水电！ 开间,,独栋·百合社区 江南西1店 江南西附近大单间！可短租 民水电！ 开间,海珠区,1550.0,23.0,67.39,1,贝壳租房列表页,2026-05-26T16:19:04.438060
GZ2118990803962429440,海珠,整租·光大花园中海锦榕湾 1室0厅 南,海珠区,1300.0,11.5,113.04,1,贝壳租房列表页,2026-05-26T16:19:04.438600
独栋·金地草莓社区 中大店 中大滨江东双地铁 阳光单间 学生优惠 押一付一拎包入住 开间,,独栋·金地草莓社区 中大店 中大滨江东双地铁 阳光单间 学生优惠 押一付一拎包入住 开间,海珠区,1960.0,23.0,85.22,1,贝壳租房列表页,2026-05-26T16:19:04.439254
GZ2118987021916569600,海珠,整租·翠城花园 1室0厅 东南,海珠区,1350.0,12.0,112.5,1,贝壳租房列表页,2026-05-26T16:19:04.439821
独栋·魔方公寓 客村店 阳光大单间 长租特惠 近客村赤岗地铁 开间,,独栋·魔方公寓 客村店 阳光大单间 长租特惠 近客村赤岗地铁 开间,海珠区,2380.0,30.0,79.33,1,贝壳租房列表页,2026-05-26T16:19:04.440351
GZ2118971154755485696,海珠,整租·中旅侨苑 1室1厅 东,海珠区,1100.0,12.0,91.67,1,贝壳租房列表页,2026-05-26T16:19:04.440888
